dd/mm/yyyy,FWPR,FGIR,WBHP:INJ,SEA_INJ,WATER_REINJ,INJ-HEADP,GAS_PROD,OIL_PROD,WATER_INJ
1994-02-09,,,,,,,,,
1995-01-01,,,,,,,,,
1996-01-01,,,,,,,,,
1997-01-01,,,,,,,,,
1998-01-01,,,,,,,,,
