dd/mm/yyyy,GAS_PROD,OIL_PROD,WATER_INJ
09/02/1994,0.0,273.8370361328125,0.0
01/01/1995,0.0,293.88726806640625,0.0
01/01/1996,0.0,291.41949462890625,0.0
01/01/1997,0.0,288.0072021484375,0.0
01/01/1998,0.0,286.4259033203125,0.0
